id,marca_temporal,anios_experiencia,anios_trabajo_hospital,cargo,sala,interacciones_mes,pregunta,respuesta,respuesta_num
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_satisfaccion_general,De acuerdo,4
4,27/4/2025 11:18:14,9,3,Becado/a,Sala L,0,q_mantener_extender_modelo,Muy de acuerdo,5
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_responde_oportuno,De acuerdo,4
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_facil_contactar,Muy de acuerdo,5
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_recomendaciones_claras,En desacuerdo,2
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_buena_comunicacion,De acuerdo,4
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_continuidad_cuidados,Muy en desacuerdo,1
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_mejora_calidad_atencion,Ni deacuerdo ni en desacuerdo,3
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_apoyo_manejo_pacientes,En desacuerdo,2
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_perspectiva_biopsicosocial,Ni deacuerdo ni en desacuerdo,3
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_reduce_carga_trabajo,En desacuerdo,2
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_disminuye_conflictos,En desacuerdo,2
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_satisfaccion_general,En desacuerdo,2
5,29/4/2025 9:20:38,5,1,Becado/a,Sala L,3,q_mantener_extender_modelo,Ni deacuerdo ni en desacuerdo,3
6,29/4/2025 10:05:21,7,3,Becado/a,Sala L,4,q_responde_oportuno,Muy de acuerdo,5
6,29/4/2025 10:05:21,7,3,Becado/a,Sala L,4,q_facil_contactar,Muy de acuerdo,5
6,29/4/2025 10:05:21,7,3,Becado/a,Sala L,4,q_recomendaciones_claras,De acuerdo,4
